sitio,par,trt,bq,rinde_aj,ma_sev,re_sev,rh_sev
tan,301,8,3,5735,NA,NA,NA
tan,109,9,1,5359,NA,NA,NA
tan,202,9,2,6421,NA,NA,NA
tan,315,9,3,6027,NA,NA,NA
tan,110,10,1,5389,NA,NA,NA
tan,214,10,2,5538,NA,NA,NA
tan,306,10,3,5542,NA,NA,NA
tan,111,11,1,5744,NA,NA,NA
tan,209,11,2,5979,NA,NA,NA
tan,310,11,3,5448,NA,NA,NA
tan,112,12,1,5948,NA,NA,NA
tan,204,12,2,7185,NA,NA,NA
tan,302,12,3,6595,NA,NA,NA
tan,113,13,1,5406,NA,NA,NA
tan,210,13,2,5395,NA,NA,NA
tan,309,13,3,5887,NA,NA,NA
tan,114,14,1,5410,NA,NA,NA
tan,207,14,2,6453,NA,NA,NA
tan,305,14,3,5755,NA,NA,NA
tan,115,15,1,5602,NA,NA,NA
tan,206,15,2,6753,NA,NA,NA
tan,311,15,3,6319,NA,NA,NA
