LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,T2M_MIN,T2M_MAX,ALLSKY_SFC_SW_DWN,PRECTOT
-57.40987,-37.09303,2019,11,23,327,2019-11-23,9.45,19.35,32.03,0
-57.40987,-37.09303,2019,11,24,328,2019-11-24,12.22,22.41,24.67,0.01
-57.40987,-37.09303,2019,11,25,329,2019-11-25,15.58,21.88,5.36,5.8
-57.40987,-37.09303,2019,11,26,330,2019-11-26,12.46,24.1,25.44,2.74
-57.40987,-37.09303,2019,11,27,331,2019-11-27,11.37,24.84,31.61,0
-57.40987,-37.09303,2019,11,28,332,2019-11-28,12.06,27.93,29.09,0
-57.40987,-37.09303,2019,11,29,333,2019-11-29,14.11,28.04,15.57,7.89
-57.40987,-37.09303,2019,11,30,334,2019-11-30,11.3,23.77,31.48,0
-57.40987,-37.09303,2019,12,1,335,2019-12-01,9.54,19.38,32.25,0
-57.40987,-37.09303,2019,12,2,336,2019-12-02,8.45,24.87,32.22,0
-57.40987,-37.09303,2019,12,3,337,2019-12-03,13.36,20.1,6.37,5.52
-57.40987,-37.09303,2019,12,4,338,2019-12-04,11,21.41,14.33,1.46
-57.40987,-37.09303,2019,12,5,339,2019-12-05,10.54,22.24,31.33,0.23
-57.40987,-37.09303,2019,12,6,340,2019-12-06,10.89,22.58,32.4,0
-57.40987,-37.09303,2019,12,7,341,2019-12-07,9.45,22.76,30.76,0
-57.40987,-37.09303,2019,12,8,342,2019-12-08,13.38,28.04,31.54,0.58
-57.40987,-37.09303,2019,12,9,343,2019-12-09,11.8,30.11,32.22,1.05
-57.40987,-37.09303,2019,12,10,344,2019-12-10,15.46,32.66,25.78,0
-57.40987,-37.09303,2019,12,11,345,2019-12-11,14.43,29.11,14.11,3.12
-57.40987,-37.09303,2019,12,12,346,2019-12-12,10.42,20.04,27.74,0.27
-57.40987,-37.09303,2019,12,13,347,2019-12-13,8.6,22.53,23.23,0
-57.40987,-37.09303,2019,12,14,348,2019-12-14,14.3,29.32,15.11,0.95
-57.40987,-37.09303,2019,12,15,349,2019-12-15,14.98,21.61,10.15,2.78
-57.40987,-37.09303,2019,12,16,350,2019-12-16,13.58,25.86,32.75,0.35
-57.40987,-37.09303,2019,12,17,351,2019-12-17,13.51,22.34,33.03,0.12
-57.40987,-37.09303,2019,12,18,352,2019-12-18,14.44,31.58,27.9,0.13
-57.40987,-37.09303,2019,12,19,353,2019-12-19,18.47,31.62,26.7,0.11
-57.40987,-37.09303,2019,12,20,354,2019-12-20,14.12,18.79,7.44,12.17
-57.40987,-37.09303,2019,12,21,355,2019-12-21,12.78,18.26,15.62,0.98
-57.40987,-37.09303,2019,12,22,356,2019-12-22,11.06,21.01,33.15,0
-57.40987,-37.09303,2019,12,23,357,2019-12-23,10.67,30.85,28.55,0.02
-57.40987,-37.09303,2019,12,24,358,2019-12-24,15.6,33.27,26.12,2.47
-57.40987,-37.09303,2019,12,25,359,2019-12-25,11.8,20.69,18.3,4.24
-57.40987,-37.09303,2019,12,26,360,2019-12-26,11.5,23.51,28.76,0.89
-57.40987,-37.09303,2019,12,27,361,2019-12-27,16.45,28.58,25.42,1.9
-57.40987,-37.09303,2019,12,28,362,2019-12-28,18.92,27.98,19.39,65.42
-57.40987,-37.09303,2019,12,29,363,2019-12-29,17.82,27.94,23.84,0.63
-57.40987,-37.09303,2019,12,30,364,2019-12-30,18.65,23.91,11.87,12.51
-57.40987,-37.09303,2019,12,31,365,2019-12-31,17.73,24.17,18.56,7.98
